                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                 1.6937,                 2.3404,                 0.9854,                      1,                0.82558,                  0.995,                0.61916,                 1.5673,                 2.0787,                 1.2509,                0.00035,                0.00035,                0.00035
                    127,                 1.7287,                 1.7635,                0.96716,                      1,                0.82558,                  0.995,                0.61916,                 1.5673,                 2.0787,                 1.2509,              0.0003368,              0.0003368,              0.0003368
                    128,                 2.0234,                 2.3699,                 1.0838,                      1,                0.85741,                  0.995,                0.63337,                 1.6662,                 2.0675,                 1.2759,              0.0003236,              0.0003236,              0.0003236
                    129,                 1.7744,                 1.9715,                  1.031,                      1,                0.85741,                  0.995,                0.63337,                 1.6662,                 2.0675,                 1.2759,              0.0003104,              0.0003104,              0.0003104
                    130,                 1.9885,                 2.1322,                 1.0984,                      1,                0.90929,                  0.995,                0.62216,                 1.7012,                 1.9464,                 1.2885,              0.0002972,              0.0002972,              0.0002972
                    131,                 1.8846,                 2.2569,                 1.0211,                      1,                0.90929,                  0.995,                0.62216,                 1.7012,                 1.9464,                 1.2885,               0.000284,               0.000284,               0.000284
                    132,                   1.77,                 1.8237,                  0.959,                      1,                0.93462,                  0.995,                0.60094,                 1.6796,                 1.8423,                  1.292,              0.0002708,              0.0002708,              0.0002708
                    133,                 1.7377,                 1.7249,                0.97431,                      1,                0.93462,                  0.995,                0.60094,                 1.6796,                 1.8423,                  1.292,              0.0002576,              0.0002576,              0.0002576
                    134,                 1.8052,                 2.1563,                 1.0228,                      1,                0.96399,                  0.995,                0.60094,                 1.6202,                 1.7085,                 1.2873,              0.0002444,              0.0002444,              0.0002444
                    135,                  1.622,                 1.7403,                0.96368,                      1,                0.96399,                  0.995,                0.60094,                 1.6202,                 1.7085,                 1.2873,              0.0002312,              0.0002312,              0.0002312
                    136,                   1.87,                 2.0275,                 1.1663,                      1,                0.99118,                  0.995,                0.61195,                 1.6336,                 1.6658,                 1.2899,               0.000218,               0.000218,               0.000218
                    137,                 1.6162,                 1.7556,                 1.0159,                      1,                0.99118,                  0.995,                0.61195,                 1.6336,                 1.6658,                 1.2899,              0.0002048,              0.0002048,              0.0002048
